,Date,Location,Shape,Duration,Population,Count
34312,1971-07-30," Bolivar, MO", cigar,1 minute,10325.0,1
31893,1971-08-01," Lamoille (above), NV", cigar,13/15 min.,105.0,3
7837,1971-08-10," Corning, NY", disk,approx. 5 min.,11183.0,1
27250,1971-08-11," Fallsburg, NY", cross,4 SECONDS,,1
17627,1971-08-15," Woodland, WA", light,15 seconds,5509.0,1
3062,1971-08-20," North Ridgeville, OH", circle,12 - 15 seconds,29465.0,1
16114,1971-09-01," Humboldt, IA", cigar,45 sec,4690.0,3
13372,1971-09-10," Indianapolis, IN", other,5 min.,820445.0,1
34607,1971-09-15," Hazlet, NJ", disk,10 Minutes,,3
14789,1971-09-20," Woodland, WA", disk,6 minutes,5509.0,1
22347,1971-09-30," St. Marys, PA", cigar,3 -5 minutes,13070.0,1
15775,1971-10-01," Pasadena, CA", disk,3 min,137122.0,1
40641,1971-10-10," Lexington, NC", oval,30 seconds,18931.0,1
24735,1971-10-12," Menands (Albany), NY", chevron,3 minutes,3990.0,1
28609,1971-10-13," Bristol, CT", disk,10min.,60477.0,1
12398,1971-10-15," Litchfield, CT", circle,6min aprox,1258.0,4
8610,1971-10-29," Bristol, CT", triangle,5min.,60477.0,1
4970,1971-11-12," Monterey Park, CA", circle,3-5 minutes,60269.0,1
32644,1971-11-17," Knox, NY", disk,1 minute,,1
24877,1971-12-25," Oxnard, CA", sphere,2 seconds,197899.0,1
20948,1972-01-01," Huntsville, AL", unknown,2 minutes,180105.0,2
20826,1972-01-05," Gering, NE", light,2-3 minutes,8500.0,1
2334,1972-01-18," Blacksburg, SC", light,2 hours,1848.0,1
2149,1972-03-01," Salinas, CA", cigar,2 - 3 min.,150441.0,1
19655,1972-03-04," Scottsville, KY", disk,30 minutes,4226.0,1
23354,1972-03-08," Chicago, IL", other,10 minutes,2695598.0,1
28673,1972-03-15," Los Lunas, NM", unknown,20 minutes,14835.0,3
10280,1972-03-20," Anaheim, CA", cylinder,20-30 seconds,336265.0,1
16398,1972-03-24," Boca Raton, FL", teardrop,3 MIN.,84392.0,1
13380,1972-04-01," Sulphur Springs, TX", disk,10 minutes,15449.0,1
10030,1972-05-01," Moline, IL", sphere,10to15 minutes,43483.0,1
7968,1972-05-08," Livingston, MT", fireball,3-4 seconds,7044.0,1
16159,1972-05-15," Schaumburg, IL", oval,UFO Land In Backyard,74227.0,1
25841,1972-05-30," Wilmington, DE", other,?,70851.0,1
31332,1972-06-01," Moreland, KY", light,20 min,,15
4766,1972-06-02," Asheville, NC", other,15 mins.,83393.0,1
33522,1972-06-07," Lyndhurst, OH", oval,30seconds,14001.0,1
40367,1972-06-09," Anderson, CA", circle,7-10 seconds,9932.0,1
23802,1972-06-10," LaCoste, TX", circle,15-20 minutes,1119.0,2
30164,1972-06-14," Allentown, PA", chevron,5 min. approx.,118032.0,1
40627,1972-06-15," Union Grove, AL", formation,2 hours,77.0,3
2178,1972-06-16," Provo (south of), UT", disk,several min.,112488.0,1
22249,1972-06-20," Arlington Heights, IL", disk,3 minutes,75101.0,2
12736,1972-06-22," Williamsport, PA", cigar,2 min,29381.0,3
12767,1972-06-24," Buffalo, NY", disk,?,261310.0,1
21483,1972-06-25," Albany, NY", cigar,10 seconds,97856.0,1
41182,1972-06-30," Lenoir, NC", disk,1 minute,18228.0,7
28766,1972-07-01," Campbell, CA", oval,5 Minutes,39349.0,3
14740,1972-07-05," Park City, KS", disk,5-10 seconds??,7297.0,1
22934,1972-07-09," Bryan, TX", triangle,2 min,76201.0,1
6557,1972-07-12," Southington, CT", disk,15 minutes,,1
33276,1972-07-15," Chesterfield, NH", cigar,10 minutes,,9
12728,1972-07-20," Williamsport, PA", fireball,1 min,29381.0,1
22675,1972-07-21," Wayland, MA", light,10-12 min,,1
19626,1972-07-30," Mojave (vicinity), CA", light,90 seconds,4238.0,1
20990,1972-08-02," Tucson, AZ", cylinder,5 minutes,520116.0,2
25290,1972-08-04," High Island, TX", light,6 hours,,1
5632,1972-08-10," Bloomington, IL", circle,3 hours,76610.0,1
10290,1972-08-14," Milford, CT", circle,5 minutes,51271.0,1
28081,1972-08-15," Ellensburg (south of)), WA", circle,2 HRS,18174.0,2
19873,1972-08-18," Aberdeen, MD", triangle,3 minutes,14959.0,1
31146,1972-08-20," Milwaukie, OR", light,5:00,20291.0,1
20438,1972-08-22," Sayreville, NJ", light,15:00minutes,42704.0,1
21373,1972-08-25," Cincinnati, OH", diamond,45 minutes,296943.0,1
15925,1972-08-30," Anchorage, AK", circle,2 to 4 seconds,291826.0,1
36266,1972-09-01," Onawa, IA", disk,3 min,2998.0,3
15807,1972-09-15," Panama City, FL", unknown,3 minutes,36484.0,4
41687,1972-09-20," Hartville, MO", chevron,5-8 minutes,613.0,2
36135,1972-10-01," Sweet Home, OR", unknown,ufo,8925.0,4
37477,1972-10-04," Greenville/Florence, SC", light,5 minutes,58409.0,1
42620,1972-10-05," Fortuna (foothills), CA", sphere,1 &amp; 1/2,11926.0,1
34238,1972-10-08," Eatonton, GA", disk,Unknown,6480.0,1
16612,1972-10-17," New Albany (Floyd or Harrison County?), IN", disk,unknown,36372.0,1
2274,1972-10-25," Wellsville, NY", disk,10 minutes,4679.0,1
31964,1972-10-29," Monroeville, AL", cylinder,15 seconds,6519.0,1
41678,1972-11-01," Hiawassee, GA", circle,two minutes,880.0,2
19634,1972-11-08," Tucson, AZ", triangle,10-15 min,520116.0,1
36678,1972-11-20," Lebanon, TN", oval,1 hour,26190.0,1
15830,1972-12-01," Chattanooga, TN", circle,"hour, roughly",167674.0,1
4157,1973-01-01," Chattanooga, TN", oval,30 sec.,167674.0,1
24488,1973-01-08," Muscle Shoals, AL", oval,20 seconds,13146.0,1
612,1973-01-12," Farmington (SE of, deserted area, Hwy 44), NM", light,aprox:2-3 min,45877.0,1
32021,1973-01-14," Scranton, PA", rectangle,10 seconds,76089.0,1
4115,1973-01-28," Glendora, CA", disk,5-10 mins,50073.0,1
34762,1973-02-01," Honolulu, HI", sphere,5 minutes,,2
9033,1973-02-10," Houston, TX", rectangle,2 MIN.,2099451.0,1
26269,1973-03-01," Winston-Salem, NC", light,15 sec.,,3
22433,1973-03-12," Plain, WA", other,3 hrs,,1
