date,distance,drinking,population,satellite,fireball,pilotballon,precipitation,visibility,smog,shape,timing
20050103,4.603501441,,532,0,,,0.21,6,, unknown,10 minutes
20050104,262.5241834,,7235,0,,,0,10,, triangle,2 min
20050209,,,,0,,,,,, light,
20050402,,,,0,,,,,, cylinder,5 min
20050507,0.747215122,,,0,,,0.96,5,, other,3 minutes
20050510,1381.267645,,,0,,,,,, cross,2 minutes
20050513,0.357007844,,88947,0,,,0,10,, triangle,5 min or more
20050516,295.8325425,,90906,0,,,,,,,
20050531,2.463039887,,24962,0,,,0.03,6,, light,5 sec
20050822,1.515243108,,16736,0,,,0,10,, unknown,unknown
20050825,1.28908065,,81332,0,,,0,10,, circle,1-2 Hours
20050903,9.483935846,,,0,,,,,, triangle,2 min.
20051021,,,201218,0,,,0,5,, cigar,Unknown
20051028,1.043183824,,60044,0,,,,,, disk,3 minutes
20051107,1109.911177,,,0,,,0.05,8,, cigar,7 minutes
20051223,4.232653914,,17865,0,,,0,10,, triangle,
20051227,,,,0,,,,,, circle,seconds
20060103,0.672144274,,211,0,,,0.09,4,, oval,5 min +
20060103,205.3155853,,38836,0,,,0.05,5,, disk,in the pool
20060321,191.5171026,,55383,0,,,0,10,, light,About 1 min.
20060817,224.0069904,,21634,0,,,0,10,, other,10 seconds
20060903,,,55383,0,,,,,, disk,15 seconds
20060904,191.5171026,,,0,,,0,10,, circle,5 hours
20061225,2.046163911,,13155,0,,,0.11,9,,,
20070403,,,,0,,,0,7,, oval,not sure
20070424,,,6466,0,,,,,,,
20070430,1.4614047,,,0,,,,,, cigar,
20071028,9720.326022,,,0,,,,,, disk,30-60 seconds
20080107,,,,0,,,,,, cigar,30 MIN
20080114,9.22E+18,,,0,,,,,,,
20080117,1.30491053,,79650,0,,,0.02,6,, disk,5 minutes
20080120,,,,0,,,,,, diamond,
20080731,20.56014535,,,0,,,,,,,
20090919,,,,0,,,0,10,, oval,1 minute
20091111,,,,0,,,,,, flash,2 min
20100731,0.059974531,,790390,0,,,0,10,, light,10 minutes
20070120,6.61168431,,,0,,,,,, circle,
20060413,,,,0,,,,,,,more than 1 min
20070625,90.24787367,,,0,,,,,, fireball,less than 1 minute
19990718,4.505755744,,,0,,,,,, fireball,less than a minute?
