airport	count
Capitol National Bank Building Heliport	160
Salem Hospital Heliport	70
Chestnut Street Garage Heliport	35
Parker Field	11
House Movers Field	3
Augusta State Airport	7
Columbus Metropolitan Airport	9
Dwight Eisenhower Va Medical Center Heliport	5
Saint Thomas Midtown Hospital Heliport	68
Kikity	4
Thorp Airport	1
St Francis M C Helistop	9
Addison Airport	6
Nikkila Farms Airport	2
Lethbridge / Anderson Field	1
Joseph Ross Scherdin Airport	5
Israel's Farm Airport	21
Oceano County Airport	15
Jefferson Hospital Heliport	4
Compaq Woburn Heliport	27
Payson Airport	14
NBC 6 (WTVJ) Heliport	4
Ross Complex Heliport	1
Krueger Airport	5
St John's Medical Center Heliport	11
Schlenker Airport	50
Collins Landing Strip	1
Donnelly's Airport	4
At&T Helistop	6
Sacred Heart General Hospital Heliport	65
Dietz Airpark	8
Dekalb Regional Medical Center Heliport	3
Westport Heliport	5
UC Davis Medical Center Tower II Heliport	131
Wakonda Beach State Airport	4
Superior Municipal Airport	4
Civic Center Heliport	44
Soverel Park Heliport	9
East Kansas City Airport	2
Lake West Wind Airport	4
Abilene Municipal Airport	6
Santa Barbara Cottage Hospital Heliport	2
Brussels/Van Keulen Field	2
Florence Municipal Airport	10
Coulee Community Hospital Heliport	6
Carlson Airport	17
Simsbury Airport	7
Buckingham Airport	1
Park 90 Heliport	12
Textron/Everett Heliport	12
Chesapeake General Hospital Heliport	13
Apple Valley Airport	10
Snoqualmie Valley Hospital Emergency Room Heliport	14
Seymour Johnson Air Force Base	1
Vermilion Health Centre Heliport	45
Cleburne Municipal Airport	10
Anderson Hospital Heliport	19
Columbus Air Force Base	1
Timpanogos Regional Hospital Heliport	17
San Antonio Regional Hospital Heliport	34
Massachusetts General Hospital Heliport	54
Bonham Airport	5
Luke Air Force Base	46
Tweed New Haven Airport	14
Hollis Clark Bay Seaplane Base	1
Eagle Field	17
Baptist Memorial Hospital Union County Heliport	2
Sibley Medical Center Heliport	2
Pinehurst State Airport	2
Crossings Heliport	3
Old Acton Airfield	2
Strong Memorial Hospital Heliport	61
Presence Mercy Medical Center Heliport	13
US Coast Guard Station Neah Bay Heliport	1
Gustavus Airport	1
Alturas Municipal Airport	8
Medical College of Virginia Heliport	56
Cedar Air Park	24
Vancouver / Coquitlam Fire and Rescue Heliport	29
New York Skyports Inc Seaplane Base	143
Dangel Airport	8
Liberal Mid-America Regional Airport	4
Lake Havasu City Airport	15
Whitestone Airport	8
Everett I Heliport	7
Shilo Farms Airport	1
Blosser Municipal Airport	1
Salida Hospital Heliport	8
San Fernando Airport	8
Wa Airport	1
Stanford University Hospital Center Heliport	22
Telephone Utilities/Tiw/ Heliport	22
Anaheim Police Heliport	36
New Smyrna Beach Municipal Airport	9
University Medical Center Hospital Heliport	193
Rampart Heliport	8
Personal 500 Sales Co. Heliport	11
Multicare Deaconess Hospital Heliport	96
Alabama Power Headquarters Heliport	40
