airport	count
Havre De Grace Seaplane Base	6
Andros Town Airport	5
Deale Airport	7
Hidden Springs Airpark	1
Big Bear City Airport	3
Mohr Farm Airport	5
Palm Beach County Glades Airport	1
Pascagoula Naval Station Heliport	1
Uvalde County Hospital Authority Heliport	3
Ronda	1
Northwest Medical Center Oil City Campus Heliport	3
Monticello Sky Ranch Airport	2
Cranmoor Airstrip	2
Eastside Airport	2
Para Field	2
Nassau County Police Heliport	5
L J Earnest Airport	1
London Luton Airport	8
Suvarnabhumi Airport	5
Sioux Center Municipal Airport	1
Wentworth Aerodrome Airport	2
Bicester Airfield	2
Cheyenne River Health Center Heliport	7
Ludhiana Airport	1
Marr Field	8
Cardiff Heliport	27
Rosada Airport	4
Cumberland River Hospital Heliport	4
Shifnal Airfield	2
Piarco International Airport	1
Olney Municipal Airport	1
Foley Hospital Heliport	3
New Garden Airport	3
Ozona Municipal Airport	2
Hissom Memorial Center Heliport	5
Compton Woodley Airport	3
Doctors Hospital Heliport	8
Denton Airfield	2
St Mary's Heliport	14
Scott Heliport	6
Elk River Airport	6
Lyveden Glider Field	1
Nordjyllands Ultra Light Flyveklub	1
Panhandle Helicopter Llc Heliport	2
Levert Heliport	5
Yorketown Airport	1
Mountain Air Airport	9
Hickory Hollow Airport	1
Bahia Beach Heliport	1
Columbus Municipal Airport	6
Carter Ranch Airport	2
Western Sky Airport	1
Hillcrest Hospital Heliport	3
Becks Grove Airport	4
St Joseph Hospital West Heliport	1
Gaitros STOL Airport	1
Marion Crittenden County Airport	1
T-Top Airfield	1
Life Hotel Heliport	1
Flying Tigers Airport	1
Boulder Airport	2
Dolphin Stadium Heliport	2
Hagerstown Regional Richard A Henson Field	1
OR Tambo International Airport	3
Viejo Ranch Ultralightport	1
Hilliard's Private Airport	2
Emergency Operations Center Heliport	5
Midland Airpark	4
St. Mary's Hospital Heliport	1
Suwannee Hospital Emergency Heliport	4
Pine Springs Airport	5
Camden East Airstrip	2
Congamond Lake Heliport	3
Tomball Regional Hospital Heliport	10
Leamington Airport	2
Manchester Woodford Airport	2
Hamp Airport	1
Granbury Regional Airport	4
Young's Airport	1
Byron Airpark	2
Dauphinee (Mill) Lake Water Aerodrome	3
Elgin's Stony Field Airport	3
Medical Center North Hills Heliport	8
Thrifty Acres STOLport	3
St Joseph's Regional Medical Center Heliport	5
Chilpancingo Airport	1
North Mississippi Medical Center-Hamilton Heliport	2
Powerscourt Airfield	3
Eds Superdrome Heliport	5
SMC Regional Medical Center Heliport	1
Ontur Airport	1
Phil Cain Memorial Field	2
Skyhaven Airport	7
Ellington Airport	6
Scott'S Sky Ranch Airport	2
Golden Land Ranch Airport	9
San Gorgonio Memorial Hospital Heliport	2
Cordes Airport	3
Western Missouri Medical Center Heliport	8
Sled Heliport	5
Empire Airport	3
Bloom Airport	1
White County Community Hospital Heliport	4
Bremen Airport	2
Methodist Medical Center Heliport	7
Dickerson Port Heliport	6
Seven Springs Airport	2
Mercy Health Center Heliport	7
Bountiful Farm	2
Scobey Border Station /East Poplar International/ Airport	1
Abington Memorial Hospital Heliport	9
Valle Airport	1
Manor Knoll Personal Use Airport	1
Antiquers Aerodrome	2
Montgomery County Police Norwood Heliport	2
St. Andre-Avellin Aerodrome	1
Leigh Farm Airport	1
Hendrick Medical Center Heliport	25
Governador José Richa Airport	5
Ludlow Airport	1
Astoria Heliport	13
Taw Mill Airstrip	3
Monticello Airport	4
Fitz Pad 1 Heliport	3
A T I Heliport	3
Waterkloof Air Force Base	1
Beveren heliport	1
Bird Field	3
Reh Heliport	2
Howard County General Hospital Heliport	10
Northway Airport	1
Phillipsburg Landing Heliport	2
Augusta Heliport	2
Old Valley Airport	2
Chiefs Hut Heliport	1
Fairview Ridges Hospital Heliport	10
Double Jj Resort Ranch Airport	2
Florida Hospital-Fish Memorial Heliport	20
Kunda Airport	2
Wilson Helispot	1
Gager Field	4
Laverak (Military) Airport	1
J.H. Snyder Co. Iii Heliport	1
Peavy Farms Airport	2
Conrads Airport	1
Patrick Air Force Base	10
Roserrow Airstrip	2
Louisville Winston County Airport	2
Hospital Dom vicente Scherer Heliport	3
Propst Airport	6
Duford Field	3
Emergency Helipad	8
4 Winds Aerodrome	1
Bluebird Airport	6
Riverton Memorial Hospital Heliport	2
Salterford Farm Airfield	6
Hayes Heliport	1
RAF North Luffenham	7
Pinedale Medical Clinic Heliport	1
Rosemarket Airstrip	1
Grindstone Lake Seaplane Base	3
Sugar Hill Airport	2
Charles J Hughes Ranch Airport	1
Inova Alexandria Hospital Heliport	29
Mc Collough Airfield	2
William H. Morse State Airport	3
Maple Grove Airport	1
Broad River Air Park	5
Dalton Airport	1
Ganze Ranch Airstrip	3
Cochran Airport	1
Community Methodist Hospital Heliport	5
Vern Air Park	3
John F Kennedy Memorial Airport	4
Flying Dollar Airport	1
Grayce Farms Airport	2
Air Haven Airport	3
Algona Municipal Airport	3
Skyrider Ultralightport	2
Dublin Field	1
Tower Airfield	2
Hillside Farm Heliport	3
Winn Ranch Airport	6
Garfield Heliport	9
Johns Landing Airport	2
Ozark Franklin County Airport	3
Limburg Regional Airport	1
Jubilee Farm Airstrip	1
Hannah Rhea Field	1
Oviedo Medical Center Heliport	3
Surrey Memorial Hospital Helipad	2
St Lucia Estuary	1
Strathmore Hospital Heliport	2
Community Hospital of Ottawa Heliport	6
Barrie (Royal Victoria Hospital) Heliport	12
Branhams Airport	3
Dailey Inc Heliport	1
Pembroke (Regional Hospital) Heliport	2
Peterlee Airfield	6
Eagle's Landing Airport	2
Manjimup Airport	2
Rgnl Medical Center Bayonet Point Heliport	6
San Pablo Airport	1
Direccion General de Seguridad Publica Heliport	2
Ballarat Airport	1
Altemose Ultralightport	7
Butts AAF (Fort Carson) Air Field	5
Chennai International Airport	7
Evangelical Community Hospital East Heliport	7
Unity Health Harris Medical Center Heliport	3
Doniphan Municipal Airport	3
Winding Creek Airport	3
Gorham Airport	6
Askey Field	3
Habetz Airport	1
Glenwood-Catron County Airport	1
Fisher's Landing Resort Airstrip	1
Spanish Peaks Airfield	2
Walker Iii Heliport	3
Merrill Glen Cove Heliport	7
Northwest Family Hospital Heliport	9
Frederick Memorial Hospital Heliport	9
Polgolla Reservoir Seaplane Base	1
Bodmin Airfield	1
Victoria Bank & Trust Motor Garage Heliport	2
Bristol Filton Airport	1
St Joseph Health Center Heliport	4
Green Lake Ranch Airport	1
Mount Snow Airport	5
Norwood Airport	4
C C A Heliport	4
Wheeler Sack Army Air Field	4
High View Farm Airport	2
Bixby Hospital Heliport	7
Allambie Airport	13
Benton Airport	2
Monesmith Airport	1
Schumacher Heliport	3
Ta' Qali	2
The Farm Heliport	4
Illinois Valley Community Hospital Heliport	8
Horta Airport	3
Vancouver International Seaplane Base	9
Tuma Private Airport	1
Louise Obici Memorial Hospital Heliport	8
Cuinche Airport	2
Wilshire Place Heliport	1
Bridgetown Heliport	1
Pune Airport	6
Allen County Airport	3
Al Saqr Field	1
Presque Isle County Airport	3
Ultraligeros del Desierto Airport	2
Ćemovsko Polje Airport	1
Burney Sheriff's Station Heliport	3
Sebastian Municipal Airport	5
Parlin Field	2
Valley Mills Municipal Airport	1
Georgetown Airport	2
Dean Griffin Memorial Airport	1
Mid-Carolina Regional Airport	2
Funafuti International Airport	1
Tyendinaga Mohawk Airport	1
Martin Field	4
Florida Hospital Lake Mary Heliport	5
Clare County Airport	2
Reading Hospital & Medical Center Heliport	5
Grangewood Airstrip	1
Gabbs Airport	1
Field's Field	1
Miller Airport	3
Indian Hills Airpark	3
Delle, Utah	5
Dawson Field	2
Ellig Field	2
Sully Municipal Airport	1
Clear Creek Ranch Airport	1
Granville Airport	1
Circle P Farm Airport	8
C Jeidy Farms Airport	1
Hubbard Landing Seaplane Base	1
Invercargill Airport	2
Zuienkerke ULM	1
Piper Canyon Airport	1
Arclid Airfield	3
Wayne Municipal Airport	2
Reiss Game Farm Airport	1
Cliffords Airport	2
Elliott Field	8
Missouri Valley Airport	1
Lowrance Airport	1
Riverside Medical Center Heliport	10
Hutchinson County Airport	5
Marian Health Center Nr 2 Heliport	12
Pemberton Regional Airport	3
Lowe'S Mooresville Heliport	3
Pierson Field	4
Avoyelles Hospital Heliport	2
Nakusp Water Aerodrome	3
Quemado Airport	2
Rancho Magdalena Airport	1
Seton Medical Center H-4 Heliport	1
Carter Airport	2
Lanseria Airport	3
Cpt Ben Smith Airfield - Monroe City Airport	1
Mister Dog Seaplane Base	2
Cypress Creek Airport	3
Riner Farm Airport	2
Searcy County Airport	3
Stage Coach Hills Airport	12
Payne Field	1
Merryfield RNAS Air Base	1
Ness Landing Seaplane Base	1
Kelly Heliport	2
Maribor Airport	1
Sailfish Point Heliport	1
Troy Municipal Airport at N Kenneth Campbell Field	2
Circuit Automobile de Nevers Magny-Cours Heliport	1
Breezy Knoll Airport	2
Peshawar International Airport	1
Pierce County-Thun Field	6
Deepwater Station Heliport	2
The Plant Place Heliport	1
St John's Episcopal Hospital Heliport	16
Harrah's Landing Seaplane Base	4
St John's Health Sciences Centre Heliport	1
Warton Airport	2
Lutong Airport	1
Beira Lake Seaplane Base	2
AAI Heliport	2
Evanston Regional Hospital Heliport	3
Juan Santamaria International Airport	1
Aeroclub Nistelrode	2
Greater Moncton International Airport	2
Praise God Airport	1
Glasgow Prestwick Airport	3
Midlem Airstrip	5
O & M Facilities Heliport	5
Hardin County Airport	1
Farr Field	1
Highland District Medical Heliport	7
Pike River Landing	2
High Grove Airport	2
Hyde Ranch Airport	1
Imperial Airport	2
Tampa Executive Airport	3
Rice Memorial Hospital Heliport	2
Blairstown Airport	3
Draco STOLport	2
Willow Springs Memorial Airport	5
Texas Dept of Public Safety Heliport	1
Clacton Airport	6
Thomasville Regional Airport	2
RAF Burtonwood	7
Kohlhaas Airport	2
High Flats Farm Airstrip	7
Danbury Municipal Airport	5
Osage Municipal Airport	3
Statesville Regional Airport	7
Mills Ranch South Airport	3
Irvington Marina Seaplane Base	1
Centerville Municipal Airport	2
Kellogg Airstrip	1
Perry Lake Seaplane Base	1
Gimo Air Base	1
London City Airport	4
Kern Valley Hospital Heliport	3
Dove Creek Airport	3
Yonges Island Airport	1
Lakes Region General Hospital Heliport	15
Calgary Broadcast House Helipad	6
Lyndon B Johnson General Hospital Heliport	1
Gorizia Airport	1
Sharp County Regional Airport	3
Berlin-Tempelhof International Airport	8
Hingurakgoda Air Force Base	7
Dandugama Seaplane Base	1
RAF Boxted	7
Canterbury Airfield	5
Northwoods Romeo Seaplane Base	5
SSM Health St. Clare Hospital-Fenton Heliport	2
Lone Pine\Death Valley Airport	4
Kocaeli Köseköy Airfield	1
Boone National Guard Heliport	13
Lucan Airport	1
RAF Mona	1
Dresden Friedrichstadt Hospital Helipad	3
Nyngan Airport	1
Talmage Field	8
Doaktown Airport	7
Mc Mahon Field	6
Coastal Helicopters Inc Heliport	2
Hollister Field	2
Old Saybrook Police Heliport	4
Edwards Farm Airport	2
Natchitoches Parish Hospital Heliport	3
Spear Memorial Hospital Heliport	5
Swanson Ranch Nr 1 Airport	1
Mc Intosh Airport	2
The Flying W Ranch Airport	5
Hamah Air Base	2
Flyin' B Airport	5
General Santos International Airport	1
East Liverpool Seaplane Base	8
Lower Creek Airport	3
Moshi Airport	1
Moultonboro Airport	3
Worcester Glider Airport	1
Franklin Regional Hospital Heliport	2
Banner Thunderbird Medical Center Heliport	2
Zips Airport	10
Agua Caliente Airport	1
Roy H Laird Memorial Hospital Heliport	2
Avenal Airport	4
Squamish Water Aerodrome	8
Molnau Airpark	3
Feutz Airport	4
Bristol Royal Infirmary Helipad	19
Pelz Field	4
Chilliwack Airport	9
Oceanside Municipal Airport	5
Jordan Heliport	1
Vassar Hospital Heliport	4
Flying Feathers Airport	5
Monmouth Executive Airport	3
Hillcrest Baptist Medical Center Heliport	14
Iroquois Memorial Hospital Heliport	1
D'Amico Airport	2
Federal Support Center Heliport	1
Randall Airport	3
Lideta Army Airport	3
Wise A.R.Hospital Heliport	3
Athens-Limestone Hospital Helipad	6
St Mary's Hospital - Centralia Heliport	4
Starr Browning Airstrip	3
Sweetbriar Airport	2
Amman-Marka International Airport	4
Hôpital Nord Heliport	1
Chael Airport	1
Rotorua Hospital Heliport	4
Cherry Capital Airport	1
North Las Vegas Airport	1
Kewanee Hospital Heliport	2
Phillips Army Air Field	4
Landers Ranch Airport	2
Konawaruk Airport	4
Hideaway Ultralightport	2
Sembawang Air Base	3
Armstrong County Memorial Hospital Heliport	4
Sacatar Meadows Airport	1
Abbeville County Memorial Hospital Heliport	2
Beverly Municipal Airport	3
Pinellas County Sheriff's Building Heliport	14
Nassau Paradise Island Airport	11
Liberty National Golf Club Heliport	1
Flying T Farm Airport	1
Strom Field	1
Lazy-W Airport	1
Fife Airport	6
Westerly Hospital Heliport	4
Borax Heliport	1
Aviosuperficie Avola-Gallina	1
Kirkbymoorside	1
Huntsville (Memorial District Hospital) Heliport	4
Alleghany Regional Hospital Heliport	4
Wujah Al Hajar Air Base	2
Laconia Municipal Airport	1
Mother Lode Service Center Heliport	5
Dogwood Canyon Heliport	1
Gisborne Hospital Heliport	2
Foxden Farms	3
Vereeniging Airport	2
RAF Blyton	3
Warminster Hospital Heliport	10
Kaiser Heliport	1
Dirt Dobber's Grass Strip	1
Thomas E. Perdue Heliport	1
Joseph G Lapointe(Martin Army Hospital) Heliport	1
Lynden Airport	6
Lingotto Heliport	2
Maitland Airport	1
Naval Outlying Field Barin	1
Allied Northborough Heliport	1
Warwick Airport	1
Bald Mountain Heliport	3
I.N.G. Barings Heliport	1
Christmas Valley Airport	8
Chambers Heliport	9
David's Airport	2
Santosa Hospital Helipad	2
RAF Woodvale	1
Dyagilevo Air Base	1
Trincomalee Harbor Waterdrome	1
Zemunik Airport	1
Hazard ARH Regional Medical Center Helipad	9
Hamadan Airport	2
Lyndon Fire Protection District Heliport	1
Marsa Airfield	2
Lelystad Airport	2
Haar Airport	1
Moneygall Aerodrome	11
Boqueron Airport	4
Kincardine (South Bruce Grey Health Centre Hospital) Heliport	3
Giza Embaba Airport	7
Middle Wallop Airfield	1
New Jersey Turnpike Heliport	2
Toledo Seaplane Base	1
Maize Airport	3
Alexander Municipal Airport	4
Acushnet River Seaplane Base	3
Hartsfield Jackson Atlanta International Airport	1
Voc Tech Airport	7
Murphy's Landing Airport	4
Suarlée Airport	1
Pickles Airport	2
Homan Airport	1
Myers Airport	1
Hop Brook Farm Airport	3
Della Heliport	1
Melton Field	2
Manitou Field	7
Rieben Airport	3
Yazoo County Airport	5
Warren Airpark	4
Heber Springs Municipal Airport	4
Pont Chaillou Heliport	1
Auburn Lewiston Municipal Airport	4
H 704 Heliport	1
Greensburg Jeannette Regional Airport	2
Dickirson Heliport	6
Hawke's Bay Airport	5
Ferry County Memorial Hospital Heliport	2
Lyndoch Airport	3
Toledo State Airport	1
Manalapan Township-Village Green Heliport	3
Warrenton Fauquier Airport	3
Bark River Airport	2
Henry County Memorial Hospital Heliport	2
R G Newsome Heliport	3
Montendre Marcillac Airport	1
Old Buckenham Airport	4
Aeródromo forestal Castell de Castells	2
Williamson County Regional Airport	2
Diagoras Airport	2
Mayo Clinic Health System-Oakridge Heliport	2
Hemphill County Airport	2
Weston-super-Mare Heliport	1
Rostraver Airport	2
Teller Airport	2
Pulverizaciones Aerosur Airport	1
Agra Airport	1
Ash Mountain Heliport	4
Parlin East Heliport	1
Brownwood Regional Airport	1
Balsam Lake Seaplane Base	1
Lonesome Pine Hospital Heliport	3
Deborah Airport	1
Salinas Municipal Airport	1
Bakshi Ka Talab Air Force Station	3
Williamsport Regional Airport	2
Copalis State Airport	2
Kayseri Hava İkmal Airfield	1
Weichert Headquarters Heliport	3
La Diva Airport	1
Whipple Ranch Airport	1
Doncaster Airfield	16
Brubaker Heliport	1
Salty Fare Landng Seaplane Base	9
Merrymeeting Field	3
Brooksville International Airways, Inc. Heliport	1
Inova Fair Oaks Hospital Heliport	5
Platform Ocs P-0188 Hondo Heliport	3
Washington Island Airport	1
Rising Sun Seaplane Base	1
Cincinnati West Airport	7
Southern Md Hospital Center Heliport	1
Metroplex Heliport	3
Yarrawonga Airport	1
Frampton Airport	1
Telluride Regional Airport	1
Ohioport Heliport	1
Green Acres Airport	4
Zhovtneve Air Base	1
Triple R Airport	3
Southbridge Municipal Airport	9
Tofte Airport	2
Kristianstad Airport	1
Page Memorial Hospital Heliport	8
Guntersville Municipal Joe Starnes Field	8
Cooper Farm Airport	2
Walnut Creek Airport	1
Sturgeon Falls Airport	1
Croisant Airport	1
Paul Personal Use Airport	1
Bedson's Land Base Airport	2
Kruger Heliport	2
Duflo Airport	4
Snyder's Lake Seaplane Base	1
Dickinson Theodore Roosevelt Regional Airport	3
Aero Club Salland	2
Warden Airport	1
Lahey Clinic Heliport	4
Huntfield Airfield	2
Kern Valley Airport	6
Louis A. Johnson Va Medical Center Heliport	1
Chenoweth Airport	1
Peninsula Hospital Center Heliport	3
Hawk's Nest Airport	4
Stonewall Heliport	2
Oostende heliport	1
RAF Bitteswell	3
George T Lewis Airport	3
Christman Field	2
St. Vincent Clay Hospital Heliport	9
Tracy Field	1
Foote Airport	1
Hatton Ranch Airport	1
Spud Field	12
Burns Municipal Airport	2
Southend Airport	1
Central State Hospital Heliport	2
Westfield Airport	6
Sliker Strip	1
Minit-Men Inc Heliport	1
Tarboro Edgecombe Airport	5
Serpentine Airport	2
Whyalla Airport	2
Kenyon Heliport	1
Liberty Cross Landing Heliport	5
St Luke's Memorial Hospital Heliport	2
Fitzgibbon Hospital Heliport	6
Sangster International Airport	3
Wings Field	7
Ranch Side Airport	1
Erie County Medical Center Heliport	2
Gadabout Gaddis Airport	2
Polly Ryon Memorial Hospital Heliport	1
Swenson Airport	2
Fort Sumner Municipal Airport	3
Florida Hospital-Flagler Heliport	18
Walton Wood Airfield	3
Central Jersey Regional Airport	1
Milan General Hospital Heliport	4
Chaudhary Charan Singh International Airport	1
Bucknall Airfield	4
Dubey Airport	2
Pine Island Airport	3
Mave's Lakeview Road Airport	1
Park River W C Skjerven Field	4
Murk's Strip	1
Germack Airport	4
Deer Run Air Field	3
Fall River Airport	2
Aviosuperficie Monticchio	1
Whitman Community Hospital Heliport	1
Rochester Airport	6
Good Hill Farm Airport	4
Sturgis Municipal Airport	3
Long View Landing Airport	2
Dresser Hill Airport	6
Overlook Athletic Club Heliport	2
Rush City Regional Airport	2
Minske Field	1
Harford County Airport	2
Norway Airport	1
Yorks Field	1
Elizabethville Airstrip	1
Branscombe Airfield	3
Cark airfield	1
Troy Armory Heliport	5
Eindhoven Heliport	1
Heston Aerodrome	2
Auburn Opelika Robert G. Pitts Airport	11
Germania Heliport	2
Oxbow Corporation Heliport	1
Bogue Field Mcalf Airport	9
Rodney Airport	1
Durbin Airport	3
Rox Airport	2
Dunlea Airpark	1
Trowbridge Farms Airport	3
Benbyre Farm Heliport	3
Pankratz Airport	4
Ussc Heliport	6
St Catherine's Hospital Heliport	2
East Jordan City Airport	1
Bob Davis Flying Service Airport	2
Wings Ago Airstrip	1
Kerry Airport	2
Volos Army Airport	1
Rio Vista Hills Airport	13
Broadt Personal Use Airport	2
New River MCAS /H/ /Mccutcheon Fld/ Airport	15
Evergreen Mtn. Heliport	3
Gilbert Development Shop Heliport	4
Earle Airpark	2
Milton Airfield	6
Lok Nayak Jayaprakash Airport	1
Portage Community Hospital Heliport	2
Shellharbour Hospital Helipad	1
Lansdale Hospital Heliport	4
Robinson Municipal Airport	1
Sturgeon Falls (West Nipissing General Hospital) Heliport	1
Kay Airport	1
Rehoboth Bay Seaplane Base	8
Malmö Sturup Airport	1
Madison County Executive Airport-Tom Sharp Jr Field	3
Sheridan Memorial Hospital Heliport	3
Harry Stern Airport	4
New Liberty Field	1
Murgon Hospital Helipad	1
Moundridge Municipal Airport	1
Burnie Airport	1
Welzheim Airfield	1
Mountain View Airport	3
Melbourne International Airport	2
Cagayan De Oro Airport	2
Morrow County Airport	7
Victoria (General Hospital) Heliport	5
Hercules Heliport	2
Lee Field	2
Quiet Acres Airport	1
Pipestone County Medical Center Heliport	1
Redlands airfield	8
Fort Bridger Airport	2
Albert Schweitzer Ziekenhuis. Locatie Amstelwijck Heliport	2
Genoa Cristoforo Colombo Airport	1
Karam Heliport	1
Hunt Field	5
Barnett Airport	1
Lookout Airport	1
Scottow Bog Flightpark Ultralightport	6
Mercy Health - Anderson Hospital Heliport	3
Heart of Georgia Regional Airport	1
West Pueblo Airport	9
Naguilian Airfield	1
Lauterbrunnen Heliport	2
Glenbrook NPWS Heliport	1
West Jersey Hospital Heliport	8
Exxon Research & Engineering Co. Heliport	9
Cherokee Island Castle Heliport	7
Chichester/Goodwood Airport	1
Pottageville Airport	1
Lz Fairwinds Airport	1
Gezik Seaplane Base	11
Gaya Airport	1
Taos County Hospital Heliport	9
Century Equipment Company Heliport	2
Flat Top Airstrip	1
Wing Farm Airfield	1
Ebensburg Airport	2
Edmonton (Royal Alexandra Hospital) Heliport	2
University of Iowa Hospitals & Clinic No2 Heliport	5
Khorat Airport	1
Columbia Gorge Regional the Dalles Municipal Airport	3
Corvallis Municipal Airport	3
Stewart Airport	3
Gottlieb Heliport	9
Dundee Airport	5
Kraków Rakowice-Czyżyny Airport	3
Lightning Bolt Field Airport	3
Bay Bridge Airport	2
Larksville Borough Heliport	6
Leach Airport	7
Hughes/Malibu Heliport	2
Muskegon County Airport	1
Northrepps International Airport	1
Manila Municipal Airport	1
Huntington Memorial Hospital Heliport	9
T N Ward Heliport	3
Jorge Chávez International Airport	3
Mosquito Commission Headquarters Heliport	4
Truckee Tahoe Airport	5
Berz-Macomb Airport	9
Fulton County Airport	4
Regan Ranch Airport	1
Jurado Airport	3
Bergen Airfield	4
Sheboygan County Memorial Airport	1
Wilson N Jones Regional Medical Center Heliport	7
Mc Bride's Airport	3
Excelsior Springs Memorial Airport	2
Base BRICA de Cártama	3
Post Mills Airport	5
Boondocks Heliport	3
Nakhchivan Airport	1
Emergency Children's Surgery and Traumatology Research Institute Helipad	4
Camas Airport	1
Panguilemo Airport	1
Jebel Dhana Airport	1
Collins-Flege Airpark	8
Airport Towers Nr 1 Heliport	5
Avery County Morrison Field	5
Arthur N Neu Airport	4
Namakan Seaplane Base	1
Alexander Field	1
Tahoe Forest Hospital Heliport	10
Sandhill Heliport	7
Palatka Municipal - Lt. Kay Larkin Field	6
Fall River Mills Airport	1
Vogel Airpark	1
Beth Israel Deaconess Medical Center Heliport	7
Kolhapur Airport	1
Malheur Memorial Hospital Heliport	1
Heilman Airport	5
Adams Co Memorial Hospital Heliport	4
Dixon Airport	1
Ouachita County Medical Center Heliport	2
Camanche Skypark Airport	1
Rheude Airport	1
Thomason Airfield	1
Lake Wawasee Seaplane Base	4
Cheltenham Racecourse Heliport	4
Sharm El Sheikh International Airport	1
Mid-Valley Dusters Inc Airport	4
Goldendale Airport	1
Milhous Ranch Airport	2
Abbott Northwestern Hospital Heliport	6
Gifford Memorial Hospital Heliport	5
Aero Britton Airport	1
Fleetlands Heliport	12
Rainbow Air Heliport	1
Dewitt Field,Old Town Municipal Airport	5
In Salah Airport	1
Dillingham Airfield	6
Big Bar Heliport	1
Fort Smith Landing Strip	2
Werner Private Airport	5
Fair Haven Municipal Airport	1
Mc Afee Stol Patch STOLport	2
Titanic Heliport	4
Soewondo Air Force Base	2
Mcfarlin Ranch Airport	7
Gilmer County Airport	2
Camp Gruber Heliport	1
Soumagahara Heliport	4
Gilze Rijen Air Base	4
Mountain Point Medical Center Helipad	6
Velké Pavlovice ULM	1
Sofia Airport	3
Calverton Executive Airpark	7
Independence Airport	1
Eindhoven Airport	1
Three Rivers Healthcare Hospital Heliport	13
Campo di Volo Settecrociari	1
Hickory Hills Airport	3
Mazama Timber Pad Heliport	3
Jenkins Airport	7
Borkenberge Airport	1
RAF Bracebridge Heath	7
Herzliya Airport	3
Horning Farms Airstrip	1
Murphey Flying Service Airport	1
Harold Bunger Airport	2
Sheikh Sultan Bin Khalifa bin Zayed Al Nahyan palace Heliport Complex	4
Dollar General Heliport	18
Šilute Air Base	1
Lea County-Jal Airport	1
Boyceville Municipal Airport	1
Weilerswist ULM	1
Brush Prairie Aerodrome	1
St. Luke's Cornwall Hospital Heliport	7
Titusville Airport	2
Boeing Canoga Park Heliport	12
Khok Kathiam Airport	3
Polícia Federal do Espírito Santo Heliport	1
Site 8 NOLF	2
Tolsona Lake Seaplane Base	2
Calpine Heliport	1
Glen Rose Medical Center Heliport	5
Summerlin Medical Center Heliport	2
Patillas Airport	1
Lakeside Airport	1
Aviosuperficie Antares	1
Middle Caicos Airport	2
South Oak Aerodrome	3
Aeródromo Villanueva del Pardillo	1
Mecosta Morton Airport	1
St Joseph's Memorial Hospital Heliport	3
Lake Placid Airport	2
Creager Airport	5
Lytle Airpark	3
Southampton Memorial Hospital Heliport	4
Leeman Airport	1
Taralga Grathawa Airport	1
Pippen-York Ranch Airport	1
Sloan's Airport	2
Black Hills Health Care System Heliport	4
Milano Linate Airport	5
Afyon Airport	1
Oud-Heverlee/Blanden Heliport	2
Maasvlakte Heliport	4
Hooker County Airport	1
Vinita Municipal Airport	1
Quaker Valley Farm Heliport	4
Scott & White Memorial Hospital Heliport	1
Ravenswood Airport	2
B Tree Farms Airport	2
Billy Bishop Toronto City Centre Airport	4
Korsør Airport	2
Freehold Airport	1
Martin State Airport	5
Belle Plaine Municipal Airport	1
Hemingway Stuckey Airport	2
Rivercliff Airport	4
Hill City-Quadna Mountain Airport	2
Brisbane West Wellcamp Airport	1
Fokker Field	2
Uw Hospital & Clinics Heliport	1
Cash field	2
Holziken Heliport	1
Loring Seaplane Base	3
Elk Creek Heliport	1
Morrilton Airport	1
Fort Fairfield Airport	2
Osborne Municipal Airport	1
Wilsonville Heliport	3
Mease Countryside Hospital Heliport	2
J & M Farms Airport	5
Woodward Field	4
National Harbor Heliport	1
Morningstar Field	2
Tyler Airport	1
Çanakkale Airport	1
Sheepshead Airport	1
Évreux-Fauville (BA 105) Air Base	1
Wright Field	1
Sunny Slope Runway Airport	2
Naha Airport	2
Burk Airport	2
Old Orchard Airpark	1
Weber Point Heliport	8
Meiersberg Airfield	2
Fawcett Center For Tomorrow Heliport	2
Steele Municipal Airport	1
Beardmore (Health Centre) Heliport	1
Lyttle Airport	1
Martindale Executive Airpark	1
Vilnius International Airport	2
Saint Hubert Air Base	2
RNAS Lee-On-Solent	1
Del Rio International Airport	7
Peter Creek Ranch Airport	1
Kichmengskiy Gorodok Airport	1
Jackson County Airport	6
North Shore Aerodrome	1
Kirila Heliport	1
Magdeburg "City" Airport	1
Moundville Airport	1
Bartow Municipal Airport	2
Sterling Heliport	1
Yerington Municipal Airport	2
Triple Creek Airport	1
Seven Gables Airport	4
Jennie Stuart Medical Center Heliport	8
Pauls Valley General Hospital Heliport	1
Smith Private Airport	5
Ludington Airport	2
Hermitage Central Fire Station Heliport	2
Licenciado Gustavo Díaz Ordaz International Airport	11
Holsbeek heliport	1
Booneville Municipal Airport	2
Farthing Corner/Stoneacre Farm Airport	5
Carroll Hospital Center Heliport	7
Presbyterian Hospital Of Greenville Heliport	3
Atwoods Heliport	7
Nwmrmc Heliport	2
Montgomery's Flying M Ranch Airport	1
Williamson Sodus Airport	3
Behala Airport	5
Thomson-McDuffie County Airport	4
Edson Airport	2
Aviosuperficie "Ali sul Castello"	1
Roche Barton Farm Airstrip	2
Broken Hill Airport	3
Lower East Pubnico (La Field) Airport	3
Granite Shoals/ Bob Sylvester Airpark	1
Hermann Ii Heliport	5
Pevey Airport	2
Shelby-Cleveland County Regional Airport	5
State Line Ultraport/Flightpark Ultralightport	2
Shoestring Aviation Airfield	1
Deweze Airport	1
Qingyang Airport	1
Multan International Airport	1
Cox Airport	8
Wevelgem Airport	1
